id,standard_smiles,syba_score,mce18,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings,score
compound_2912,CCOC(=O)C1=C(OC)C(=O)N(c2ccccc2)C1c1ccccc1,36.61958567279052,69.13333333333333,337.131408088,0.2,5,0,3,5,25,5,0,55.84,0.7861526794887784,3.238100000000002,2.532066333098168,0,1,1,2,0,2,0,0,0,3.3170867
compound_2361,CC1CCc2onc(-c3nnc(-c4ccccc4)o3)c2C1,59.66171381019223,100.51473922902494,281.11642672,0.3125,5,0,4,5,21,2,0,64.95,0.7187347623321229,3.5164000000000026,2.892353887381306,1,0,1,1,2,3,0,0,0,-12.617669
compound_1916,COc1ccccc1N1CCN(C(=O)c2c(C)noc2C)CC1,116.42315828806991,55.18840579710145,315.158291532,0.4117647058823529,6,0,3,6,23,3,0,58.81,0.8693648511926255,2.26244,1.9988519623229468,0,1,1,1,1,2,0,1,1,-12.708012
compound_0211,CCC1Oc2ccccc2N(CC(=O)NCc2cccs2)C1=O,109.7132809890354,65.07509881422925,330.103813436,0.29411764705882354,5,1,3,6,23,5,0,58.64,0.916509635626939,2.568500000000001,2.703053333403682,0,1,1,1,1,2,0,0,0,-10.379947
compound_0107,CC1CCc2c(sc3ncn(CC(=O)N4CCOCC4)c(=O)c23)C1,136.8380366081371,113.8148148148148,347.130362532,0.5882352941176471,6,0,4,7,24,2,0,64.43,0.8246138002399229,1.4415999999999995,2.8571920622003475,1,1,2,0,2,2,0,1,1,-8.264148
compound_1727,CC1(C)Cc2c(sc3nc(NCCO)n4ncnc4c23)CO1,80.14321303416571,92.0,319.110295784,0.5,7,2,4,8,22,3,0,84.57000000000001,0.7625666367385828,1.5944999999999998,3.0347277527911523,0,1,1,0,3,3,0,0,0,-2.384718
compound_1343,COc1ccc(CN2C(=O)C3(OCCCO3)c3cccc(C)c32)cc1,89.61013339172202,115.21481481481482,339.147058152,0.35,5,0,4,5,25,3,0,48.0,0.8618949824271319,3.1401200000000014,2.858677384019078,0,2,2,2,0,2,0,1,1,-1.8282127
compound_0384,COc1ccc(C2CC(c3cccs3)=Nc3nnnn32)c(OC)c1,84.33409086317764,102.66666666666666,341.09464572,0.25,7,0,4,8,24,4,0,74.42,0.7293228159271273,2.8657000000000004,3.044838292491794,0,1,1,1,2,3,0,0,0,4.3369837
compound_1901,O=C1Nc2ccc(S(=O)(=O)NCc3ccco3)c3cccc1c23,101.06433171673469,88.0,328.051777864,0.0625,6,2,4,7,23,4,0,88.41,0.7698991760420733,2.4770000000000003,2.367227884861947,0,1,1,2,1,3,0,0,0,2.948512
compound_0553,NC(=O)c1c(NC(=O)c2noc3c2CCCC3)sc2c1CCCC2,124.68028452167292,93.52,345.11471246800005,0.47058823529411764,6,3,4,7,24,3,0,98.22,0.8933937078001313,2.844900000000001,2.5792682554950357,2,0,2,0,2,2,0,0,0,5.436365
compound_1017,O=C(CSc1nnc(-c2ccccc2)o1)NC1CC2CCC1C2,112.46304244143012,102.86434782608696,329.119797848,0.47058823529411764,5,1,4,6,23,5,0,68.02,0.853651991547123,3.1335000000000015,3.8186597335646635,2,0,2,1,1,2,2,0,2,-6.138234
compound_1992,Cc1nnsc1C(=O)n1nc(C(F)(F)F)cc1-c1cccs1,65.64636431623997,57.0,344.001337504,0.16666666666666666,5,0,3,10,22,2,0,60.67,0.7140358136243914,3.4788200000000016,2.918696875471751,0,0,0,0,3,3,0,0,0,1.9134494
compound_2606,Cc1ccccc1NC(=O)C1COc2ccccc2O1,93.7779229187816,62.52631578947368,269.10519334,0.1875,4,1,3,4,20,2,0,47.56,0.9115649345894121,2.7735200000000013,2.2499843835521744,0,1,1,2,0,2,0,0,0,-6.072063
compound_1831,Nn1c(SCc2cn3ccccc3n2)nnc1-c1ccco1,147.16700026409572,76.0,312.0793300039999,0.07142857142857142,7,2,4,8,22,4,0,87.17,0.4589564690894755,2.1918999999999995,2.5756745997903057,0,0,0,0,4,4,0,0,0,1.3811594
compound_2821,O=C(Cn1cnc2c(cnn2-c2ccccc2)c1=O)N1CCCCC1,146.42738891382123,86.0,337.15387484800004,0.3333333333333333,7,0,4,7,25,3,0,73.02,0.7275118902693711,1.5947,2.1232284753757984,0,1,1,1,2,3,0,1,1,-13.689148
